,src,tar,src_type,tar_type,is_net,arc_delay,src_id,tar_id,org_src_id,org_tar_id,src_pin_name,tar_pin_name,cell_name,libcell_name
78,_329_/C,_329_/Y,pin,pin,0,2.9089964811990218e-11,110,112,110,112,C,Y,_329_,AND4x1_ASAP7_75t_R
79,_329_/D,_329_/Y,pin,pin,0,2.8991770789632557e-11,111,112,111,112,D,Y,_329_,AND4x1_ASAP7_75t_R
80,_330_/A,_330_/Y,pin,pin,0,3.4299368900647664e-11,113,118,113,118,A,Y,_330_,AND5x1_ASAP7_75t_R
81,_330_/B,_330_/Y,pin,pin,0,3.603064027690728e-11,114,118,114,118,B,Y,_330_,AND5x1_ASAP7_75t_R
82,_330_/C,_330_/Y,pin,pin,0,3.739079879050422e-11,115,118,115,118,C,Y,_330_,AND5x1_ASAP7_75t_R
83,_330_/D,_330_/Y,pin,pin,0,3.7672039099323484e-11,116,118,116,118,D,Y,_330_,AND5x1_ASAP7_75t_R
84,_330_/E,_330_/Y,pin,pin,0,3.7709096262217294e-11,117,118,117,118,E,Y,_330_,AND5x1_ASAP7_75t_R
85,_331_/A,_331_/Y,pin,pin,0,2.7556663548256036e-11,119,123,119,123,A,Y,_331_,AND4x1_ASAP7_75t_R
86,_331_/B,_331_/Y,pin,pin,0,2.8427170339906382e-11,120,123,120,123,B,Y,_331_,AND4x1_ASAP7_75t_R
87,_331_/C,_331_/Y,pin,pin,0,2.8978307600735495e-11,121,123,121,123,C,Y,_331_,AND4x1_ASAP7_75t_R
88,_331_/D,_331_/Y,pin,pin,0,2.9336175849659085e-11,122,123,122,123,D,Y,_331_,AND4x1_ASAP7_75t_R
89,_332_/A,_332_/Y,pin,pin,0,3.5452616536924e-11,124,129,124,129,A,Y,_332_,AND5x1_ASAP7_75t_R
90,_332_/B,_332_/Y,pin,pin,0,3.690030919711873e-11,125,129,125,129,B,Y,_332_,AND5x1_ASAP7_75t_R
91,_332_/C,_332_/Y,pin,pin,0,3.82400881793199e-11,126,129,126,129,C,Y,_332_,AND5x1_ASAP7_75t_R
92,_332_/D,_332_/Y,pin,pin,0,3.9128051493309e-11,127,129,127,129,D,Y,_332_,AND5x1_ASAP7_75t_R
93,_332_/E,_332_/Y,pin,pin,0,3.86433905708028e-11,128,129,128,129,E,Y,_332_,AND5x1_ASAP7_75t_R
94,_333_/A,_333_/Y,pin,pin,0,1.2750086576807096e-11,130,132,130,132,A,Y,_333_,NAND2x1_ASAP7_75t_R
95,_333_/B,_333_/Y,pin,pin,0,1.1734174396038632e-11,131,132,131,132,B,Y,_333_,NAND2x1_ASAP7_75t_R
96,_334_/A,_334_/Y,pin,pin,0,1.4610599188835668e-11,133,134,133,134,A,Y,_334_,INVx1_ASAP7_75t_R
97,_335_/A1,_335_/Y,pin,pin,0,1.8131543141897133e-11,135,138,135,138,A1,Y,_335_,OA21x2_ASAP7_75t_R
98,_335_/A2,_335_/Y,pin,pin,0,1.82949506238872e-11,136,138,136,138,A2,Y,_335_,OA21x2_ASAP7_75t_R
99,_335_/B,_335_/Y,pin,pin,0,1.773914869163118e-11,137,138,137,138,B,Y,_335_,OA21x2_ASAP7_75t_R
100,_336_/A,_336_/Y,pin,pin,0,6.691377920503561e-12,139,140,139,140,A,Y,_336_,INVx1_ASAP7_75t_R
101,_337_/A1,_337_/Y,pin,pin,0,1.5946183609671927e-11,141,144,141,144,A1,Y,_337_,OA21x2_ASAP7_75t_R
102,_337_/A2,_337_/Y,pin,pin,0,1.6114613116124943e-11,142,144,142,144,A2,Y,_337_,OA21x2_ASAP7_75t_R
103,_337_/B,_337_/Y,pin,pin,0,1.5398109870501386e-11,143,144,143,144,B,Y,_337_,OA21x2_ASAP7_75t_R
104,_338_/A,_338_/Y,pin,pin,0,2.3432025417213787e-11,145,146,145,146,A,Y,_338_,BUFx4f_ASAP7_75t_R
105,_339_/A,_339_/Y,pin,pin,0,2.4585541935628896e-11,147,149,147,149,A,Y,_339_,NAND2x2_ASAP7_75t_R
106,_339_/B,_339_/Y,pin,pin,0,2.4395787473485697e-11,148,149,148,149,B,Y,_339_,NAND2x2_ASAP7_75t_R
107,_340_/A,_340_/Y,pin,pin,0,1.3207717905472371e-11,150,152,150,152,A,Y,_340_,NOR2x1_ASAP7_75t_R
108,_340_/B,_340_/Y,pin,pin,0,1.660483209264818e-11,151,152,151,152,B,Y,_340_,NOR2x1_ASAP7_75t_R
109,_341_/A,_341_/Y,pin,pin,0,5.407102716958878e-12,153,154,153,154,A,Y,_341_,INVx1_ASAP7_75t_R
110,_342_/A1,_342_/Y,pin,pin,0,2.0978992848474928e-11,155,160,155,160,A1,Y,_342_,AO221x1_ASAP7_75t_R
111,_342_/A2,_342_/Y,pin,pin,0,2.3559293405028825e-11,156,160,156,160,A2,Y,_342_,AO221x1_ASAP7_75t_R
112,_342_/B1,_342_/Y,pin,pin,0,2.2728352186418554e-11,157,160,157,160,B1,Y,_342_,AO221x1_ASAP7_75t_R
113,_342_/B2,_342_/Y,pin,pin,0,2.0424245628092308e-11,158,160,158,160,B2,Y,_342_,AO221x1_ASAP7_75t_R
114,_342_/C,_342_/Y,pin,pin,0,2.2577875333218422e-11,159,160,159,160,C,Y,_342_,AO221x1_ASAP7_75t_R
115,_343_/A,_343_/Y,pin,pin,0,2.8300230214828304e-11,161,164,161,164,A,Y,_343_,OR3x1_ASAP7_75t_R
116,_343_/B,_343_/Y,pin,pin,0,2.8391502690516823e-11,162,164,162,164,B,Y,_343_,OR3x1_ASAP7_75t_R
117,_343_/C,_343_/Y,pin,pin,0,2.8332409335307677e-11,163,164,163,164,C,Y,_343_,OR3x1_ASAP7_75t_R
118,_344_/A,_344_/Y,pin,pin,0,2.3402817878048765e-11,165,167,165,167,A,Y,_344_,AND2x4_ASAP7_75t_R
119,_344_/B,_344_/Y,pin,pin,0,2.5617549748169207e-11,166,167,166,167,B,Y,_344_,AND2x4_ASAP7_75t_R
120,_345_/A1,_345_/Y,pin,pin,0,1.6260857244043688e-11,168,171,168,171,A1,Y,_345_,AO21x1_ASAP7_75t_R
121,_345_/A2,_345_/Y,pin,pin,0,1.820413784991981e-11,169,171,169,171,A2,Y,_345_,AO21x1_ASAP7_75t_R
122,_345_/B,_345_/Y,pin,pin,0,1.9164614339928218e-11,170,171,170,171,B,Y,_345_,AO21x1_ASAP7_75t_R
123,_346_/A1,_346_/Y,pin,pin,0,8.913126313403463e-12,172,175,172,175,A1,Y,_346_,AOI21x1_ASAP7_75t_R
124,_346_/A2,_346_/Y,pin,pin,0,8.821910216227913e-12,173,175,173,175,A2,Y,_346_,AOI21x1_ASAP7_75t_R
125,_346_/B,_346_/Y,pin,pin,0,9.193833194753864e-12,174,175,174,175,B,Y,_346_,AOI21x1_ASAP7_75t_R
126,_347_/A,_347_/Y,pin,pin,0,1.3665520971761767e-11,176,177,176,177,A,Y,_347_,INVx1_ASAP7_75t_R
