src,tar,src_type,tar_type
_412_/D,_412_,pin,cell
_412_,_412_/Y,cell,pin
_413_/A,_413_,pin,cell
_413_/B,_413_,pin,cell
_413_/C,_413_,pin,cell
_413_/D,_413_,pin,cell
_413_,_413_/Y,cell,pin
_414_/A,_414_,pin,cell
_414_,_414_/X,cell,pin
_415_/A,_415_,pin,cell
_415_/B,_415_,pin,cell
_415_,_415_/X,cell,pin
_416_/A,_416_,pin,cell
_416_/B,_416_,pin,cell
_416_,_416_/Y,cell,pin
_417_/A,_417_,pin,cell
_417_/B,_417_,pin,cell
_417_,_417_/Y,cell,pin
_418_/A1,_418_,pin,cell
_418_/A2,_418_,pin,cell
_418_/B1,_418_,pin,cell
_418_,_418_/Y,cell,pin
_419_/A1,_419_,pin,cell
_419_/A2,_419_,pin,cell
_419_/B1,_419_,pin,cell
_419_,_419_/X,cell,pin
_420_/A,_420_,pin,cell
_420_,_420_/Y,cell,pin
_421_/A_N,_421_,pin,cell
_421_/B,_421_,pin,cell
_421_,_421_/X,cell,pin
_422_/A,_422_,pin,cell
_422_/B,_422_,pin,cell
_422_/C,_422_,pin,cell
_422_,_422_/X,cell,pin
_423_/A1,_423_,pin,cell
_423_/A2,_423_,pin,cell
_423_/B1,_423_,pin,cell
_423_,_423_/Y,cell,pin
_424_/A,_424_,pin,cell
_424_,_424_/Y,cell,pin
_425_/A,_425_,pin,cell
_425_/B_N,_425_,pin,cell
_425_,_425_/Y,cell,pin
_426_/A,_426_,pin,cell
_426_,_426_/Y,cell,pin
_427_/A_N,_427_,pin,cell
_427_/B,_427_,pin,cell
_427_,_427_/Y,cell,pin
_428_/A,_428_,pin,cell
_428_/B,_428_,pin,cell
_428_/C,_428_,pin,cell
_428_,_428_/X,cell,pin
_429_/A1,_429_,pin,cell
_429_/A2,_429_,pin,cell
_429_/B1,_429_,pin,cell
_429_/C1,_429_,pin,cell
_429_,_429_/Y,cell,pin
_430_/A1,_430_,pin,cell
_430_/A2,_430_,pin,cell
_430_/B1,_430_,pin,cell
_430_,_430_/Y,cell,pin
_431_/A1,_431_,pin,cell
_431_/A2,_431_,pin,cell
_431_/B1_N,_431_,pin,cell
_431_,_431_/Y,cell,pin
_432_/A,_432_,pin,cell
_432_/B_N,_432_,pin,cell
_432_,_432_/Y,cell,pin
_433_/A,_433_,pin,cell
_433_/B_N,_433_,pin,cell
_433_,_433_/Y,cell,pin
_434_/A,_434_,pin,cell
_434_/B,_434_,pin,cell
_434_,_434_/X,cell,pin
_435_/A,_435_,pin,cell
_435_/B,_435_,pin,cell
_435_,_435_/Y,cell,pin
_436_/A,_436_,pin,cell
_436_/B,_436_,pin,cell
_436_,_436_/X,cell,pin
_437_/A_N,_437_,pin,cell
_437_/B,_437_,pin,cell
_437_,_437_/Y,cell,pin
_438_/A_N,_438_,pin,cell
_438_/B,_438_,pin,cell
_438_,_438_/Y,cell,pin
_439_/A,_439_,pin,cell
_439_/B,_439_,pin,cell
_439_,_439_/Y,cell,pin
_440_/A,_440_,pin,cell
_440_/B,_440_,pin,cell
_440_/C,_440_,pin,cell
_440_,_440_/Y,cell,pin
_441_/A,_441_,pin,cell
_441_/B,_441_,pin,cell
_441_,_441_/Y,cell,pin
_442_/A,_442_,pin,cell
_442_/B,_442_,pin,cell
_442_/C,_442_,pin,cell
_442_,_442_/Y,cell,pin
_443_/A1,_443_,pin,cell
_443_/A2,_443_,pin,cell
_443_/B1,_443_,pin,cell
_443_/B2,_443_,pin,cell
_443_/C1,_443_,pin,cell
_443_,_443_/X,cell,pin
_444_/A1,_444_,pin,cell
_444_/A2,_444_,pin,cell
_444_/B1,_444_,pin,cell
_444_,_444_/X,cell,pin
_445_/A,_445_,pin,cell
_445_,_445_/X,cell,pin
_446_/A0,_446_,pin,cell
_446_/A1,_446_,pin,cell
_446_/S,_446_,pin,cell
_446_,_446_/Y,cell,pin
_447_/A1,_447_,pin,cell
_447_/A2,_447_,pin,cell
_447_/B1,_447_,pin,cell
_447_,_447_/Y,cell,pin
_448_/A1,_448_,pin,cell
_448_/A2,_448_,pin,cell
_448_/B1,_448_,pin,cell
_448_/C1,_448_,pin,cell
_448_,_448_/Y,cell,pin
_449_/A1,_449_,pin,cell
_449_/A2,_449_,pin,cell
_449_/B1,_449_,pin,cell
_449_,_449_/X,cell,pin
_450_/A,_450_,pin,cell
_450_,_450_/X,cell,pin
_451_/A,_451_,pin,cell
