src,tar,is_net
_16727_/A2,_16727_/ZN,0
_16728_/A1,_16728_/ZN,0
_16728_/A2,_16728_/ZN,0
_16728_/B1,_16728_/ZN,0
_16728_/B2,_16728_/ZN,0
_16729_/A1,_16729_/ZN,0
_16729_/A2,_16729_/ZN,0
_16729_/A3,_16729_/ZN,0
_16729_/B1,_16729_/ZN,0
_16729_/B2,_16729_/ZN,0
_16729_/B3,_16729_/ZN,0
_16730_/A1,_16730_/ZN,0
_16730_/A2,_16730_/ZN,0
_16731_/A1,_16731_/ZN,0
_16731_/A2,_16731_/ZN,0
_16732_/A,_16732_/Z,0
_16732_/B,_16732_/Z,0
_16733_/A1,_16733_/ZN,0
_16733_/A2,_16733_/ZN,0
_16734_/A1,_16734_/ZN,0
_16734_/A2,_16734_/ZN,0
_16735_/A,_16735_/ZN,0
_16735_/B1,_16735_/ZN,0
_16735_/B2,_16735_/ZN,0
_16735_/C1,_16735_/ZN,0
_16735_/C2,_16735_/ZN,0
_16736_/A1,_16736_/ZN,0
_16736_/A2,_16736_/ZN,0
_16736_/A3,_16736_/ZN,0
_16737_/A1,_16737_/ZN,0
_16737_/A2,_16737_/ZN,0
_16737_/A3,_16737_/ZN,0
_16738_/A,_16738_/ZN,0
_16738_/B,_16738_/ZN,0
_16739_/A,_16739_/ZN,0
_16739_/B,_16739_/ZN,0
_16740_/A,_16740_/ZN,0
_16740_/B,_16740_/ZN,0
_16741_/A,_16741_/ZN,0
_16741_/B,_16741_/ZN,0
_16743_/A,_16743_/ZN,0
_16746_/A,_16746_/Z,0
_16746_/B,_16746_/Z,0
_16746_/S,_16746_/Z,0
_16753_/A1,_16753_/ZN,0
_16753_/A2,_16753_/ZN,0
_16754_/A1,_16754_/ZN,0
_16754_/A2,_16754_/ZN,0
_16755_/A1,_16755_/ZN,0
_16755_/A2,_16755_/ZN,0
_16755_/A3,_16755_/ZN,0
_16756_/A1,_16756_/ZN,0
_16756_/A2,_16756_/ZN,0
_16756_/B1,_16756_/ZN,0
_16756_/B2,_16756_/ZN,0
_16757_/A1,_16757_/ZN,0
_16757_/A2,_16757_/ZN,0
_16757_/A3,_16757_/ZN,0
_16758_/A1,_16758_/ZN,0
_16758_/A2,_16758_/ZN,0
_16760_/A,_16760_/ZN,0
_16760_/B1,_16760_/ZN,0
_16760_/B2,_16760_/ZN,0
_16761_/A1,_16761_/ZN,0
_16761_/A2,_16761_/ZN,0
_16762_/A1,_16762_/ZN,0
_16762_/A2,_16762_/ZN,0
_16762_/B1,_16762_/ZN,0
_16762_/B2,_16762_/ZN,0
_16763_/A1,_16763_/ZN,0
_16763_/A2,_16763_/ZN,0
_16764_/A1,_16764_/ZN,0
_16764_/A2,_16764_/ZN,0
_16765_/A1,_16765_/ZN,0
_16765_/A2,_16765_/ZN,0
_16765_/A3,_16765_/ZN,0
_16766_/A1,_16766_/ZN,0
_16766_/A2,_16766_/ZN,0
_16767_/A1,_16767_/ZN,0
_16767_/A2,_16767_/ZN,0
_16767_/A3,_16767_/ZN,0
_16768_/A,_16768_/ZN,0
_16768_/B1,_16768_/ZN,0
_16768_/B2,_16768_/ZN,0
_16768_/C1,_16768_/ZN,0
_16768_/C2,_16768_/ZN,0
_16770_/A1,_16770_/ZN,0
_16770_/A2,_16770_/ZN,0
_16771_/A,_16771_/ZN,0
_16771_/B1,_16771_/ZN,0
_16771_/B2,_16771_/ZN,0
_16772_/A1,_16772_/ZN,0
_16772_/A2,_16772_/ZN,0
_16772_/B1,_16772_/ZN,0
_16772_/B2,_16772_/ZN,0
_16774_/A,_16774_/ZN,0
_16774_/B1,_16774_/ZN,0
_16774_/B2,_16774_/ZN,0
_16774_/C1,_16774_/ZN,0
_16774_/C2,_16774_/ZN,0
_16775_/A1,_16775_/ZN,0
_16775_/A2,_16775_/ZN,0
_16776_/A1,_16776_/ZN,0
_16776_/A2,_16776_/ZN,0
_16778_/A,_16778_/Z,0
_16778_/B,_16778_/Z,0
_16778_/S,_16778_/Z,0
_16779_/A1,_16779_/ZN,0
_16779_/A2,_16779_/ZN,0
_16779_/B1,_16779_/ZN,0
_16779_/B2,_16779_/ZN,0
_16781_/A,_16781_/ZN,0
_16781_/B1,_16781_/ZN,0
_16781_/B2,_16781_/ZN,0
_16782_/A,_16782_/Z,0
