src,tar,src_type,tar_type,is_net,arc_delay
_12822_/A,_12822_/Y,pin,pin,0,1.4383789992411522e-10
_12825_/A,_12825_/X,pin,pin,0,3.112234359115007e-10
_12825_/B,_12825_/X,pin,pin,0,2.4522836539198067e-10
_12826_/A,_12826_/Y,pin,pin,0,3.059578701503085e-10
_12826_/B,_12826_/Y,pin,pin,0,3.018400529519738e-10
_12827_/A,_12827_/Y,pin,pin,0,3.013580218702572e-10
_12827_/B,_12827_/Y,pin,pin,0,2.4876953275132507e-10
_12828_/A,_12828_/Y,pin,pin,0,2.1221249757452654e-10
_12828_/B,_12828_/Y,pin,pin,0,1.9197445022545168e-10
_12829_/A,_12829_/Y,pin,pin,0,1.9046206278794386e-10
_12829_/B,_12829_/Y,pin,pin,0,9.16299605635551e-11
_12830_/A1,_12830_/X,pin,pin,0,5.121837398647244e-10
_12830_/A2,_12830_/X,pin,pin,0,4.2730124993894947e-10
_12830_/B1,_12830_/X,pin,pin,0,4.238787931765131e-10
_12832_/A,_12832_/Y,pin,pin,0,2.2533486188081042e-10
_12834_/A,_12834_/Y,pin,pin,0,1.8027666859321556e-10
_12835_/A,_12835_/Y,pin,pin,0,3.0951488594332943e-10
_12835_/B,_12835_/Y,pin,pin,0,2.3069339494252716e-10
_12836_/A,_12836_/Y,pin,pin,0,2.9033558890390054e-10
_12836_/B,_12836_/Y,pin,pin,0,2.7312471728713206e-10
_12837_/A,_12837_/X,pin,pin,0,2.91442758815208e-10
_12837_/B,_12837_/X,pin,pin,0,2.6648616646696155e-10
_12838_/A,_12838_/X,pin,pin,0,2.053080344621705e-10
_12838_/B,_12838_/X,pin,pin,0,2.0456704385996005e-10
_12839_/A,_12839_/Y,pin,pin,0,1.98754762648079e-10
_12839_/B,_12839_/Y,pin,pin,0,8.158008296677011e-11
_12840_/A1,_12840_/X,pin,pin,0,4.836984146550094e-10
_12840_/A2,_12840_/X,pin,pin,0,4.0008715784800586e-10
_12840_/B1,_12840_/X,pin,pin,0,3.9830871934043444e-10
_12841_/A,_12841_/Y,pin,pin,0,2.1036740405211418e-10
_12845_/A,_12845_/X,pin,pin,0,5.848948547715338e-10
_12845_/B,_12845_/X,pin,pin,0,5.071526532063331e-10
_12845_/C,_12845_/X,pin,pin,0,4.301869971357064e-10
_12846_/A,_12846_/X,pin,pin,0,4.014715226929866e-10
_12846_/B,_12846_/X,pin,pin,0,3.9224137826643357e-10
_12847_/A,_12847_/Y,pin,pin,0,2.7739541219595765e-10
_12847_/B,_12847_/Y,pin,pin,0,2.67676159015906e-10
_12848_/A0,_12848_/Y,pin,pin,0,9.193345529290298e-10
_12848_/A1,_12848_/Y,pin,pin,0,9.034306636124256e-10
_12848_/S,_12848_/Y,pin,pin,0,1.0572569486555494e-09
_12849_/A,_12849_/Y,pin,pin,0,2.9144678337367225e-10
_12852_/A,_12852_/X,pin,pin,0,2.447972380359431e-10
_12852_/B,_12852_/X,pin,pin,0,2.261055787045052e-10
_12853_/A,_12853_/Y,pin,pin,0,3.003175486071541e-10
_12853_/B,_12853_/Y,pin,pin,0,2.6043955880794556e-10
_12854_/A,_12854_/Y,pin,pin,0,3.62819524424296e-10
_12854_/B,_12854_/Y,pin,pin,0,3.299052975247463e-10
_12855_/A,_12855_/Y,pin,pin,0,2.7668431434868523e-10
_12855_/B,_12855_/Y,pin,pin,0,2.73693234742467e-10
_12856_/A,_12856_/Y,pin,pin,0,2.6784299778093157e-10
_12856_/B,_12856_/Y,pin,pin,0,1.0602441841145449e-10
_12857_/A1,_12857_/X,pin,pin,0,4.734840852727018e-10
_12857_/A2,_12857_/X,pin,pin,0,4.070566106406659e-10
_12857_/B1,_12857_/X,pin,pin,0,3.9559125419863506e-10
_12858_/A,_12858_/Y,pin,pin,0,2.123717451896212e-10
_12860_/A,_12860_/Y,pin,pin,0,1.9916751581305903e-10
_12860_/B,_12860_/Y,pin,pin,0,1.4683314286667581e-10
_12861_/A,_12861_/Y,pin,pin,0,2.871163029549706e-10
_12861_/B_N,_12861_/Y,pin,pin,0,2.3077387223402468e-10
_12862_/A,_12862_/Y,pin,pin,0,2.856300751474805e-10
_12862_/B,_12862_/Y,pin,pin,0,1.8351269115424174e-10
_12864_/A,_12864_/X,pin,pin,0,6.800106588933374e-10
_12864_/B,_12864_/X,pin,pin,0,5.835506522444689e-10
_12864_/C,_12864_/X,pin,pin,0,4.652334073540487e-10
_12865_/A,_12865_/X,pin,pin,0,6.585711975759523e-10
_12865_/B,_12865_/X,pin,pin,0,5.870554042886056e-10
_12865_/C,_12865_/X,pin,pin,0,5.102407940604792e-10
_12866_/A0,_12866_/Y,pin,pin,0,3.74127812063918e-10
_12866_/A1,_12866_/Y,pin,pin,0,3.6561584315641937e-10
_12866_/S,_12866_/Y,pin,pin,0,4.5544304438926986e-10
_12867_/A,_12867_/Y,pin,pin,0,3.064533071750475e-10
_12867_/B,_12867_/Y,pin,pin,0,2.9322078098914517e-10
_12868_/A,_12868_/Y,pin,pin,0,2.1637139302477237e-10
_12870_/A,_12870_/Y,pin,pin,0,2.368477081127196e-10
_12870_/B,_12870_/Y,pin,pin,0,1.4377193879866468e-10
_12871_/A,_12871_/Y,pin,pin,0,3.240600843223973e-10
_12871_/B_N,_12871_/Y,pin,pin,0,2.7232824328926597e-10
_12872_/A,_12872_/Y,pin,pin,0,3.138489190757099e-10
_12872_/B,_12872_/Y,pin,pin,0,2.165524148889375e-10
_12874_/A,_12874_/X,pin,pin,0,6.82903511517452e-10
_12874_/B,_12874_/X,pin,pin,0,6.034501787155477e-10
_12874_/C,_12874_/X,pin,pin,0,4.950563292638321e-10
_12875_/A,_12875_/X,pin,pin,0,6.327448565102145e-10
_12875_/B,_12875_/X,pin,pin,0,5.760602550530791e-10
_12875_/C,_12875_/X,pin,pin,0,4.91144125369658e-10
_12876_/A0,_12876_/Y,pin,pin,0,3.5810515663925457e-10
_12876_/A1,_12876_/Y,pin,pin,0,3.4949212968093946e-10
_12876_/S,_12876_/Y,pin,pin,0,4.2802791866414225e-10
_12877_/A,_12877_/Y,pin,pin,0,2.980204416580534e-10
_12877_/B,_12877_/Y,pin,pin,0,2.9326976958010675e-10
_12878_/A,_12878_/Y,pin,pin,0,2.4530649733733867e-10
_12880_/A,_12880_/Y,pin,pin,0,1.4475683152159746e-10
_12881_/A,_12881_/X,pin,pin,0,6.984756661942981e-10
_12881_/B,_12881_/X,pin,pin,0,6.144478814640308e-10
_12881_/C,_12881_/X,pin,pin,0,4.924916585657968e-10
_12882_/A,_12882_/Y,pin,pin,0,1.8626038211788654e-10
_12882_/B,_12882_/Y,pin,pin,0,1.6730043739254796e-10
_12883_/A,_12883_/X,pin,pin,0,4.991168589540962e-10
_12883_/B,_12883_/X,pin,pin,0,4.345022952545463e-10
_12883_/C,_12883_/X,pin,pin,0,2.7097143973087157e-10
_12884_/A0,_12884_/Y,pin,pin,0,5.559351867745477e-10
_12884_/A1,_12884_/Y,pin,pin,0,5.412048587061236e-10
_12884_/S,_12884_/Y,pin,pin,0,6.659916507167907e-10
_12885_/A,_12885_/Y,pin,pin,0,1.9830609376825237e-10
_12890_/A,_12890_/X,pin,pin,0,6.1272875662155e-10
_12890_/B,_12890_/X,pin,pin,0,5.469190100804155e-10
_12890_/C,_12890_/X,pin,pin,0,4.184247670568908e-10
_12892_/A,_12892_/Y,pin,pin,0,2.1954635331944417e-10
_12892_/B,_12892_/Y,pin,pin,0,1.712595620873003e-10
_12893_/A,_12893_/X,pin,pin,0,7.196895301930795e-10
_12893_/B,_12893_/X,pin,pin,0,6.336838831444425e-10
_12893_/C,_12893_/X,pin,pin,0,5.079945908370576e-10
_12894_/A,_12894_/Y,pin,pin,0,2.7547972236696694e-10
_12894_/B,_12894_/Y,pin,pin,0,1.75480713293652e-10
_12895_/A1,_12895_/X,pin,pin,0,8.105648374723273e-10
_12895_/A2,_12895_/X,pin,pin,0,8.052817301873461e-10
_12895_/B1,_12895_/X,pin,pin,0,7.545885583049028e-10
_12897_/A,_12897_/Y,pin,pin,0,4.0524153477328184e-10
_12902_/A,_12902_/X,pin,pin,0,5.808258873862826e-10
_12902_/B,_12902_/X,pin,pin,0,5.020107662900841e-10
_12902_/C,_12902_/X,pin,pin,0,3.849200402861186e-10
_12903_/A,_12903_/X,pin,pin,0,6.323518930706484e-10
_12903_/B,_12903_/X,pin,pin,0,5.920121615154983e-10
_12903_/C,_12903_/X,pin,pin,0,4.667741193564723e-10
_12904_/A,_12904_/Y,pin,pin,0,3.0374980308778277e-10
_12904_/B,_12904_/Y,pin,pin,0,2.9914817845089203e-10
_12905_/A,_12905_/Y,pin,pin,0,2.3655441494518925e-10
_12905_/B,_12905_/Y,pin,pin,0,1.7377935201956518e-10
_12906_/A1,_12906_/X,pin,pin,0,7.684816116793058e-10
_12906_/A2,_12906_/X,pin,pin,0,7.100887100541797e-10
_12906_/B1,_12906_/X,pin,pin,0,6.96291024837592e-10
_12907_/A,_12907_/Y,pin,pin,0,3.0988914212493057e-10
_12911_/A,_12911_/X,pin,pin,0,4.879766035692512e-10
_12911_/B,_12911_/X,pin,pin,0,4.0555428459931875e-10
_12911_/C,_12911_/X,pin,pin,0,2.8301405663455625e-10
_12912_/A,_12912_/X,pin,pin,0,7.078229113943735e-10
_12912_/B,_12912_/X,pin,pin,0,6.485718628823633e-10
_12912_/C,_12912_/X,pin,pin,0,5.093929167365729e-10
_12913_/A,_12913_/Y,pin,pin,0,3.075367738247792e-10
_12913_/B,_12913_/Y,pin,pin,0,3.1048330573213434e-10
_12914_/A,_12914_/Y,pin,pin,0,2.2776545927083447e-10
_12914_/B,_12914_/Y,pin,pin,0,1.324784171252702e-10
_12915_/A1,_12915_/X,pin,pin,0,6.810398911483162e-10
_12915_/A2,_12915_/X,pin,pin,0,6.21996454341911e-10
_12915_/B1,_12915_/X,pin,pin,0,6.02873417854255e-10
_12916_/A,_12916_/Y,pin,pin,0,2.969643142503031e-10
_12919_/A,_12919_/X,pin,pin,0,5.235164524108882e-10
_12919_/B,_12919_/X,pin,pin,0,4.2923306575737286e-10
_12919_/C,_12919_/X,pin,pin,0,3.0306251952438856e-10
_12920_/A,_12920_/Y,pin,pin,0,3.266024950487889e-10
_12920_/B,_12920_/Y,pin,pin,0,2.845720048494371e-10
_12921_/A,_12921_/Y,pin,pin,0,5.07679287498064e-10
_12921_/B,_12921_/Y,pin,pin,0,4.939662567871039e-10
_12922_/A,_12922_/X,pin,pin,0,3.0284372232181056e-10
_12922_/B,_12922_/X,pin,pin,0,3.141142346230197e-10
_12923_/A,_12923_/Y,pin,pin,0,2.0789318877501017e-10
_12923_/B,_12923_/Y,pin,pin,0,1.5531426145187766e-10
_12924_/A1,_12924_/X,pin,pin,0,4.390671159981707e-10
_12924_/A2,_12924_/X,pin,pin,0,3.488406230545138e-10
_12924_/B1,_12924_/X,pin,pin,0,3.2997943266721563e-10
_12925_/A,_12925_/Y,pin,pin,0,1.8066115270443106e-10
_12928_/A,_12928_/X,pin,pin,0,6.079353687127309e-10
_12928_/B,_12928_/X,pin,pin,0,5.182104745315996e-10
_12928_/C,_12928_/X,pin,pin,0,4.07506473010244e-10
_12929_/A,_12929_/Y,pin,pin,0,3.0328345390628897e-10
_12929_/B,_12929_/Y,pin,pin,0,2.8580582345227867e-10
_12930_/A,_12930_/X,pin,pin,0,4.815991494488969e-10
