src,tar,src_type,tar_type,is_net,arc_delay
_06381_/A1,_06381_/Y,pin,pin,0,1.0822701623780517e-09
_06381_/A2,_06381_/Y,pin,pin,0,1.1069715144529368e-09
_06381_/B1,_06381_/Y,pin,pin,0,1.0591927335212858e-09
_06383_/A1,_06383_/Y,pin,pin,0,2.7195190543949366e-10
_06383_/A2,_06383_/Y,pin,pin,0,2.030194207192082e-10
_06383_/B1,_06383_/Y,pin,pin,0,2.8607924362766823e-10
_06384_/A1,_06384_/Y,pin,pin,0,3.766999212562183e-10
_06384_/A2,_06384_/Y,pin,pin,0,3.9565267728747244e-10
_06384_/B1,_06384_/Y,pin,pin,0,4.240549578149455e-10
_06388_/A,_06388_/Y,pin,pin,0,9.518075910763812e-11
_06388_/B,_06388_/Y,pin,pin,0,1.2037172647527683e-10
_06388_/C,_06388_/Y,pin,pin,0,1.1864907667469282e-10
_06388_/D,_06388_/Y,pin,pin,0,1.334423960219766e-10
_06389_/A1_N,_06389_/Y,pin,pin,0,2.687827183045499e-10
_06389_/A2_N,_06389_/Y,pin,pin,0,1.9160383002425618e-10
_06389_/B1,_06389_/Y,pin,pin,0,1.9252018035320617e-10
_06389_/B2,_06389_/Y,pin,pin,0,2.5200130870928206e-10
_06392_/A,_06392_/Y,pin,pin,0,7.12126538293667e-11
_06392_/B,_06392_/Y,pin,pin,0,1.8002409285511334e-10
_06394_/A1,_06394_/Y,pin,pin,0,8.57924675745636e-10
_06394_/A2,_06394_/Y,pin,pin,0,8.30319091260634e-10
_06394_/B1,_06394_/Y,pin,pin,0,4.726145585998154e-10
_06396_/A,_06396_/Y,pin,pin,0,2.32677530020986e-10
_06397_/A,_06397_/Y,pin,pin,0,2.0334429973178914e-10
_06397_/B_N,_06397_/Y,pin,pin,0,1.3947831778438058e-10
_06398_/A1,_06398_/Y,pin,pin,0,2.701750489997323e-10
_06398_/A2,_06398_/Y,pin,pin,0,3.929889469400649e-10
_06398_/B1,_06398_/Y,pin,pin,0,3.442367779715738e-10
_06398_/C1,_06398_/Y,pin,pin,0,2.607512816776847e-10
_06399_/A1,_06399_/Y,pin,pin,0,6.330858615122281e-10
_06399_/A2,_06399_/Y,pin,pin,0,6.047508605000473e-10
_06399_/B1,_06399_/Y,pin,pin,0,4.934845310167191e-10
_06401_/A1,_06401_/Y,pin,pin,0,2.48500192645551e-10
_06401_/A2,_06401_/Y,pin,pin,0,2.9777166843381053e-10
_06401_/A3,_06401_/Y,pin,pin,0,4.089593663714197e-10
_06401_/B1,_06401_/Y,pin,pin,0,3.063939935099569e-10
_06401_/C1,_06401_/Y,pin,pin,0,2.446592373139822e-10
_06402_/A,_06402_/Y,pin,pin,0,2.0863800964665558e-10
_06403_/A1,_06403_/Y,pin,pin,0,1.1717964376600776e-09
_06403_/A2,_06403_/Y,pin,pin,0,1.1930988419450728e-09
_06403_/B1,_06403_/Y,pin,pin,0,1.1642498076724905e-09
_06405_/A,_06405_/Y,pin,pin,0,2.9502308929174603e-10
_06409_/A0,_06409_/X,pin,pin,0,4.899518568635131e-10
_06409_/A1,_06409_/X,pin,pin,0,5.042612438721505e-10
_06409_/A2,_06409_/X,pin,pin,0,4.896716365720977e-10
_06409_/A3,_06409_/X,pin,pin,0,4.76686023986872e-10
_06409_/S0,_06409_/X,pin,pin,0,6.294337273615724e-10
_06409_/S1,_06409_/X,pin,pin,0,3.8392367063266875e-10
_06410_/A,_06410_/Y,pin,pin,0,1.2043531449901224e-10
_06410_/B,_06410_/Y,pin,pin,0,8.007094293160932e-11
_06411_/A,_06411_/Y,pin,pin,0,2.0408226497625748e-10
_06411_/B,_06411_/Y,pin,pin,0,9.796550376472979e-11
_06412_/A1,_06412_/Y,pin,pin,0,4.675821396737945e-10
_06412_/A2,_06412_/Y,pin,pin,0,5.10474551518314e-10
_06412_/B1,_06412_/Y,pin,pin,0,4.656939833758145e-10
_06413_/A,_06413_/Y,pin,pin,0,7.03562971771099e-11
_06414_/A,_06414_/Y,pin,pin,0,3.719422547732165e-10
_06414_/B,_06414_/Y,pin,pin,0,3.8826755699439275e-10
_06415_/A1,_06415_/Y,pin,pin,0,3.0988397958786607e-10
_06415_/A2,_06415_/Y,pin,pin,0,3.4388306091592824e-10
_06415_/B1,_06415_/Y,pin,pin,0,3.085963151683302e-10
_06416_/A0,_06416_/Y,pin,pin,0,1.6577705874709636e-10
_06416_/A1,_06416_/Y,pin,pin,0,1.7635887195055489e-10
_06416_/S,_06416_/Y,pin,pin,0,2.9018054625851164e-10
