cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
FILLER_0_100_966,0,0,0,387220,302400,387600,305200,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_100_97,0,0,0,57000,302400,58520,305200,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_100_983,0,0,0,393680,302400,396720,305200,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_100_991,0,0,0,396720,302400,398240,305200,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_101_1,0,0,0,20520,305200,26600,308000,0,0,FILLCELL_X16,0.0,0.0
FILLER_0_101_1006,0,0,0,402420,305200,402800,308000,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_101_1017,0,0,0,406600,305200,406980,308000,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_101_1019,0,0,0,407360,305200,407740,308000,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_101_1039,0,0,0,414960,305200,415340,308000,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_101_1041,0,0,0,415720,305200,416100,308000,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_101_1048,0,0,0,418380,305200,418760,308000,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_101_1069,0,0,0,426360,305200,426740,308000,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_101_1076,0,0,0,429020,305200,429400,308000,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_101_1083,0,0,0,431680,305200,432060,308000,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_101_1091,0,0,0,434720,305200,437760,308000,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_101_1099,0,0,0,437760,305200,438140,308000,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_101_1120,0,0,0,445740,305200,448780,308000,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_101_1128,0,0,0,448780,305200,450300,308000,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_101_1132,0,0,0,450300,305200,450680,308000,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_101_1134,0,0,0,451060,305200,451440,308000,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_101_1142,0,0,0,454100,305200,455620,308000,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_101_1146,0,0,0,455620,305200,456000,308000,0,0,FILLCELL_X2,0.0,0.0
