pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
_357_/ZN,21850,12600,0,-1,0,0,1,-1,0.1985349953174591,0,_357_,_048_,1.2320872620763534e-11,-0.074487,1.588468245827812e-10,1.6115481171752322e-10,None
_358_/A1,18810,12775,0,-1,0,0,0,-1,0.1985349953174591,0,_358_,_048_,1.2321056501451988e-11,-0.074487,1.5899712102473984e-10,1.6130032032268815e-10,3.0531029415655766e-15
_358_/A2,18778,12620,0,-1,0,0,0,-1,0.1985349953174591,0,_358_,dpath.a_lt_b$in0\[2\],1.906839616760969e-11,-0.059540,1.5254754404114834e-10,1.4249999791271506e-10,3.4509930686482584e-15
_358_/ZN,18575,12485,0,-1,0,0,1,-1,0.1985349953174591,0,_358_,_049_,1.1641900117542736e-11,-0.074487,1.77499931419689e-10,1.745842082012672e-10,None
_359_/A,17325,7175,0,-1,0,0,0,-1,0.1985349953174591,0,_359_,dpath.a_lt_b$in0\[2\],1.9068326778670652e-11,-0.076759,1.5250278817546814e-10,1.4245911394983324e-10,1.700229965024007e-15
_359_/ZN,17655,7000,0,-1,0,0,1,-1,0.1985349953174591,0,_359_,_050_,1.1043622613615689e-11,-0.076759,1.609851835171483e-10,1.6566334415379913e-10,None
_360_/A1,20655,12775,0,-1,0,0,0,-1,0.1985349953174591,0,_360_,_050_,1.1043719758130344e-11,-0.076759,1.6109054368218523e-10,1.6576537364976218e-10,1.5990320800793388e-15
_360_/A2,20005,12775,0,-1,0,0,0,-1,0.1985349953174591,0,_360_,dpath.a_lt_b$in1\[2\],1.4797168698676977e-11,-0.053317,1.4793714864236307e-10,1.3946743759873925e-10,1.664198983392822e-15
_360_/ZN,20510,13013,0,-1,0,0,1,-1,0.1985349953174591,0,_360_,_051_,9.574505251130905e-12,-0.076759,1.797413190507413e-10,1.7380755168439066e-10,None
_361_/A1,21415,15225,0,-1,0,0,0,-1,0.1985349953174591,0,_361_,_049_,1.164196343494961e-11,-0.074487,1.7760058701465908e-10,1.7467999269271672e-10,1.5990320800793388e-15
