libcell_name,func_id,libcell_area,worst_input_cap,libcell_leakage,fo4_delay,libcell_delay_fixed_load
OR3_X1,51,5320000,9.590519957374975e-16,3.3560557000100744e-8,9.674470252685197e-11,8.875952750564409e-11
OR3_X2,51,6384000,1.7479700124806803e-15,6.749544922968198e-8,8.959873121217043e-11,7.659035211604603e-11
OR3_X4,51,11704000,3.3946550015022435e-15,1.3499089845936396e-7,8.638696008533842e-11,6.947373232257803e-11
OR4_X1,52,6384000,9.412450338456071e-16,3.853685015542396e-8,1.4239928680659375e-10,1.262875776175676e-10
OR4_X2,52,7448000,1.7231470766866826e-15,7.757265763075338e-8,1.3153340916449707e-10,1.1089146961795748e-10
OR4_X4,52,13832000,3.61247397081166e-15,1.5514508788783132e-7,1.3005238552743492e-10,1.0374402031887442e-10
SDFFRS_X1,53,30856000,2.2485381087042388e-15,8.51934558454559e-8,1.6559274784722078e-10,9.529795008678121e-11
SDFFRS_X2,53,32984000,2.632774064677181e-15,1.5508238959682785e-7,1.3128248488314398e-10,9.170637166322493e-11
SDFFR_X1,54,26600000,2.000804900313116e-15,1.0525818794349107e-7,1.5310418211011978e-10,1.0828311858279704e-10
SDFFR_X2,54,27664000,1.9224689640104332e-15,1.4196150743828184e-7,1.4416381977078174e-10,1.2548508065979291e-10
SDFFS_X1,55,26600000,2.0026569378522874e-15,1.0772485126153697e-7,1.5681096698916264e-10,1.1347862233224149e-10
SDFFS_X2,55,28728000,2.2244561149808518e-15,1.4059298791835317e-7,1.5698500832606044e-10,1.351760231527166e-10
SDFF_X1,56,24472000,1.889909017517978e-15,1.006847938356259e-7,1.2781671554495944e-10,9.85141135334544e-11
SDFF_X2,56,25536000,1.853232067385393e-15,1.3667606424405676e-7,1.2972997676108378e-10,1.177346276026725e-10
TBUF_X1,57,8512000,1.879367904247635e-15,4.3057958976078226e-8,1.0639750885887977e-10,1.0639750885887977e-10
TBUF_X16,57,27664000,6.520518920269912e-15,3.533903907282365e-7,1.0940152950222881e-10,1.0940152950222881e-10
TBUF_X2,57,9576000,3.325055998292252e-15,8.168148468712388e-8,9.168691500471837e-11,9.168691500471837e-11
TBUF_X4,57,11704000,3.3801429977751724e-15,1.1335829697145527e-7,9.61326018789066e-11,9.61326018789066e-11
TBUF_X8,57,19152000,6.719669918696554e-15,2.268375993708105e-7,1.0005456879680352e-10,1.0005456879680352e-10
TINV_X1,58,4256000,1.7520429704075526e-15,8.53638404407775e-9,9.409499568402424e-11,5.866866020776129e-11
TLAT_X1,59,13832000,1.4972280371817917e-15,3.43002000136039e-8,1.4989452734592845e-10,1.4989452734592845e-10
XNOR2_X1,60,6384000,2.573607966278521e-15,3.6612618714571e-8,1.1685080680834403e-10,5.410270148553664e-11
XNOR2_X2,60,10640000,4.83693590551653e-15,7.326725892653485e-8,1.0944019301906138e-10,3.8213873038150936e-11
XOR2_X1,61,6384000,2.411453037647342e-15,2.6394278762609247e-8,1.2439933805286074e-10,6.60772409011301e-11
XOR2_X2,61,9576000,4.500935299516168e-15,5.303826000613299e-8,1.207684091619754e-10,5.5291538708646115e-11
fakeram45_256x16,62,12620104000,2.499999956129175e-14,0.00016978300118353218,2.0399998357234495e-10,2.0399998357234495e-10
fakeram45_2048x39,63,181915272000,2.499999956129175e-14,0.0018765999702736735,4.3499998048091015e-10,4.3499998048091015e-10
TAPCELL_X1,30,1064000,None,0.0,None,None
fakeram45_64x96,64,16795240000,2.499999956129175e-14,0.00016361998859792948,2.339999860545561e-10,2.339999860545561e-10
fakeram45_64x124,65,39248832000,2.499999956129175e-14,0.0004150870081502944,2.380000641011293e-10,2.380000641011293e-10
fakeram45_64x64,66,22913240000,2.499999956129175e-14,0.0002800700021907687,2.3699997520054694e-10,2.3700003071169817e-10
fakeram45_64x15,67,2636592000,2.499999956129175e-14,5.892659828532487e-5,1.979999914025754e-10,1.979999914025754e-10
fakeram45_256x34,68,25904144000,2.499999956129175e-14,0.00033892400097101927,2.409999977359689e-10,2.409999977359689e-10
fakeram45_64x62,69,22913240000,2.499999956129175e-14,0.0002800700021907687,2.370000862228494e-10,2.3700003071169817e-10
fakeram45_1024x32,70,65624328000,2.499999956129175e-14,0.0007976659690029919,3.089999645045083e-10,3.089999645045083e-10
fakeram45_128x32,71,19711664000,2.499999956129175e-14,0.00024144700728356838,2.4800000941738176e-10,2.4800000941738176e-10
fakeram45_32x32,72,7405440000,2.499999956129175e-14,0.00012889999197795987,2.1800000693517063e-10,2.1800002081295844e-10
fakeram45_128x256,73,146331920000,2.499999956129175e-14,0.0012111699907109141,3.320002051054871e-10,3.320000108164578e-10
fakeram45_256x95,74,54806640000,2.499999956129175e-14,0.0006977529847063124,2.9199997975126735e-10,2.9199997975126735e-10
fakeram45_256x96,75,54806640000,2.499999956129175e-14,0.0006977529847063124,2.9199997975126735e-10,2.9199997975126735e-10
