,pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap,is_macro,is_seq,is_buf,is_inv,new_cellname,new_netname,id,org_id,netname_prefix,to_top,to_left,to_right,to_bottom,libcell_name,rise_cap,fall_cap
347,Y,8908,9315,0,False,0,0,False,9.216000358691635e-14,3.1999999872134305e-10,0,_402_,_164_,1.1938355685969793e-11,2.679245714176659e-12,1.914483294118696e-10,1.8994951445083783e-10,-1.0,0,0,0,0,cell1094,net218,347,347,_164_,6885.0,8908.0,7292.0,9315.0,OA21x2_ASAP7_75t_R,,
348,A1,7857,8793,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_403_,_162_,1.9532557862800278e-11,6.386710604822099e-12,1.8257309553071368e-10,1.9026737130278804e-10,5.411660148085427e-16,0,0,0,0,cell1095,net216,348,348,_162_,7407.0,7857.0,8343.0,8793.0,OA211x2_ASAP7_75t_R,0.536639,0.541166
349,A2,7762,8775,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_403_,_163_,1.4149998013579523e-11,3.035431628273244e-11,1.6119847123796657e-10,1.6636114708035166e-10,5.704190387957988e-16,0,0,0,0,cell1095,net217,349,349,_163_,7425.0,7762.0,8438.0,8775.0,OA211x2_ASAP7_75t_R,0.570067,0.570419
350,B,7911,8793,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_403_,_096_,1.5440981826486677e-11,6.4753896689140325e-12,1.8092709275219218e-10,1.8673014523518103e-10,4.370169876663016e-16,0,0,0,0,cell1095,net150,350,350,_096_,7407.0,7911.0,8289.0,8793.0,OA211x2_ASAP7_75t_R,0.437017,0.430291
351,C,7965,8775,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_403_,_164_,1.1938902991226463e-11,2.679245714176659e-12,1.9147576579836567e-10,1.8997656225927528e-10,4.4726103060017475e-16,0,0,0,0,cell1095,net218,351,351,_164_,7425.0,7965.0,8235.0,8775.0,OA211x2_ASAP7_75t_R,0.447261,0.439142
352,Y,8092,8775,0,False,0,0,False,9.216000358691635e-14,3.1999999872134305e-10,0,_403_,_165_,7.808882880599999e-12,2.679245714176659e-12,2.1116777770835427e-10,2.1741541900155423e-10,-1.0,0,0,0,0,cell1095,net219,352,352,_165_,7425.0,8092.0,8108.0,8775.0,OA211x2_ASAP7_75t_R,,
353,A1,8721,7407,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_404_,_099_,1.5508415732168324e-11,3.3144528788220384e-11,1.632888824154577e-10,1.5955468890549438e-10,6.183570272643335e-16,0,0,0,0,cell1096,net153,353,353,_099_,8793.0,8721.0,7479.0,7407.0,OA21x2_ASAP7_75t_R,0.61012,0.618357
354,A2,8829,7407,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_404_,_014_,2.8543884270093575e-11,6.788639095312021e-11,1.169095237285589e-10,1.2070550114984258e-10,6.484900126046684e-16,0,0,0,0,cell1096,net68,354,354,_014_,8793.0,8829.0,7371.0,7407.0,OA21x2_ASAP7_75t_R,0.64849,0.648421
355,B,8893,7409,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_404_,_012_,3.8575535127316485e-11,6.483752423847022e-11,1.2206662070024518e-10,1.2579200181495054e-10,6.363210078888211e-16,0,0,0,0,cell1096,net66,355,355,_012_,8791.0,8893.0,7307.0,7409.0,OA21x2_ASAP7_75t_R,0.636321,0.629252
356,Y,9016,7425,0,False,0,0,False,9.216000358691635e-14,3.1999999872134305e-10,0,_404_,_166_,1.2682574608569029e-11,3.3144528788220384e-11,1.8419291092364176e-10,1.8036634685802968e-10,-1.0,0,0,0,0,cell1096,net220,356,356,_166_,8775.0,9016.0,7184.0,7425.0,OA21x2_ASAP7_75t_R,,
357,A1,9369,8793,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_405_,net57,7.455864051153505e-12,3.194389197602732e-12,1.7332425772398352e-10,1.7094813065110515e-10,6.183570272643335e-16,0,0,0,0,cell1097,net425,357,357,net57,7407.0,9369.0,6831.0,8793.0,OA21x2_ASAP7_75t_R,0.61012,0.618357
358,A2,9477,8793,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_405_,_017_,4.789990973308456e-11,3.68032965214482e-11,1.2527606729761942e-10,1.2762392531673328e-10,6.484900126046684e-16,0,0,0,0,cell1097,net71,358,358,_017_,7407.0,9477.0,6723.0,8793.0,OA21x2_ASAP7_75t_R,0.64849,0.648421
359,B,9541,8790,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_405_,_015_,2.8987560615756358e-11,5.4698967577593294e-11,1.1403672450782663e-10,1.1779610620266112e-10,6.363210078888211e-16,0,0,0,0,cell1097,net69,359,359,_015_,7410.0,9541.0,6659.0,8790.0,OA21x2_ASAP7_75t_R,0.636321,0.629252
360,Y,9664,8775,0,False,0,0,False,9.216000358691635e-14,3.1999999872134305e-10,0,_405_,_167_,9.171463935531143e-12,3.194389197602732e-12,1.8964560477563447e-10,1.8816898039730742e-10,-1.0,0,0,0,0,cell1097,net221,360,360,_167_,7425.0,9664.0,6536.0,8775.0,OA21x2_ASAP7_75t_R,,
361,A,9531,8505,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_406_,_099_,1.5524243349163136e-11,3.216528432492538e-11,1.6348968012724896e-10,1.5975835931936186e-10,6.399400090955243e-16,0,0,0,0,cell1098,net153,361,361,_099_,7695.0,9531.0,6669.0,8505.0,OR3x1_ASAP7_75t_R,0.63994,0.637598
362,B,9585,8505,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_406_,_100_,1.1257157532529316e-11,3.925533509363533e-11,1.5543751008539886e-10,1.5222338667353339e-10,6.001750415350463e-16,0,0,0,0,cell1098,net154,362,362,_100_,7695.0,9585.0,6615.0,8505.0,OR3x1_ASAP7_75t_R,0.590078,0.600175
363,C,9639,8505,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_406_,_167_,9.171501232085875e-12,3.194389197602732e-12,1.8965516657143408e-10,1.881787226043485e-10,6.007239718244263e-16,0,0,0,0,cell1098,net221,363,363,_167_,7695.0,9639.0,6561.0,8505.0,OR3x1_ASAP7_75t_R,0.58769,0.600724
364,Y,9730,8502,0,False,0,0,False,4.6080001793458176e-14,3.1999999872134305e-10,0,_406_,_168_,7.111325417419323e-12,3.194389197602732e-12,2.0279838919279314e-10,2.1173723885326007e-10,-1.0,0,0,0,0,cell1098,net222,364,364,_168_,7698.0,9730.0,6470.0,8502.0,OR3x1_ASAP7_75t_R,,
365,A1,8829,8487,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_407_,_160_,7.561729020721941e-12,2.5424107263916085e-12,2.014902272806651e-10,2.1806965955217803e-10,5.411660148085427e-16,0,0,0,0,cell1099,net214,365,365,_160_,7713.0,8829.0,7371.0,8487.0,OA211x2_ASAP7_75t_R,0.536639,0.541166
366,A2,8734,8505,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_407_,_165_,7.808911503537352e-12,2.679245714176659e-12,2.111839453311504e-10,2.1743160050213814e-10,5.704190387957988e-16,0,0,0,0,cell1099,net219,366,366,_165_,7695.0,8734.0,7466.0,8505.0,OA211x2_ASAP7_75t_R,0.570067,0.570419
367,B,8883,8487,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_407_,_166_,1.2683655341294564e-11,3.537531378938752e-11,1.8423682024426566e-10,1.8040918758899238e-10,4.370169876663016e-16,0,0,0,0,cell1099,net220,367,367,_166_,7713.0,8883.0,7317.0,8487.0,OA211x2_ASAP7_75t_R,0.437017,0.430291
368,C,8937,8505,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_407_,_168_,7.111928667508094e-12,3.194389197602732e-12,2.028194417968976e-10,2.11757972268245e-10,4.4726103060017475e-16,0,0,0,0,cell1099,net222,368,368,_168_,7695.0,8937.0,7263.0,8505.0,OA211x2_ASAP7_75t_R,0.447261,0.439142
369,Y,9064,8505,0,False,0,0,False,9.216000358691635e-14,3.1999999872134305e-10,0,_407_,_169_,1.6808067090923196e-11,2.5424107263916085e-12,2.3444923780147064e-10,2.443526769813076e-10,-1.0,0,0,0,0,cell1099,net223,369,369,_169_,7695.0,9064.0,7136.0,8505.0,OA211x2_ASAP7_75t_R,,
370,A,8705,3956,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_408_,net65,8.867234203846497e-12,1.0813595852088298e-10,1.6781050160563638e-10,1.6757038812098554e-10,1.653009995796948e-15,0,0,0,0,cell1100,net434,370,370,net65,12244.0,8705.0,7495.0,3956.0,XOR2x1_ASAP7_75t_R,1.65301,1.6377
371,Y,8869,3890,0,False,0,0,False,4.6080001793458176e-14,3.1999999872134305e-10,0,_408_,net39,1.7493295006998366e-11,2.855946035218437e-11,2.5885518728507856e-10,2.6883190118454076e-10,-1.0,0,0,0,0,cell1100,net405,371,371,net39,12310.0,8869.0,7331.0,3890.0,XOR2x1_ASAP7_75t_R,,
372,B,8771,3865,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_408_,_169_,1.6871995120459893e-11,2.855946035218437e-11,2.350161731889955e-10,2.4490823258283e-10,1.6505800700295124e-15,0,0,0,0,cell1100,net223,372,372,_169_,12335.0,8771.0,7429.0,3865.0,XOR2x1_ASAP7_75t_R,1.65058,1.60049
373,A1,7978,1468,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_409_,net36,1.741068747507235e-11,2.3803706228342486e-10,1.4005577253506374e-10,1.3736156656563026e-10,6.200080003576507e-16,0,0,0,0,cell1101,net402,373,373,net36,14732.0,7978.0,8222.0,1468.0,AO21x1_ASAP7_75t_R,0.620008,0.611597
