,libcell_name,func_id,libcell_area,worst_input_cap,libcell_leakage,fo4_delay,fix_load_delay,libcell_id,group_id,size_class,size_class2,size_cnt,min_size_cell
51,AOI333xp33_ASAP7_75t_R,32,160380,6.522810144392236e-16,0.0,3.8875555552486674e-11,3.9834722326270715e-11,51,33,0,0,1,AOI333xp33_ASAP7_75t_R
52,AOI33xp33_ASAP7_75t_R,33,116640,5.5583498432865185e-16,0.0,2.680030156132496e-11,3.2948765243956395e-11,52,34,0,0,1,AOI33xp33_ASAP7_75t_R
53,ASYNC_DFFHx1_ASAP7_75t_R,34,379080,1.1893800534910838e-15,2.1465600130721183e-10,4.2627769369918405e-11,4.537050943276277e-11,53,35,0,0,1,ASYNC_DFFHx1_ASAP7_75t_R
54,BUFx10_ASAP7_75t_R,35,204120,1.3353999573891344e-15,2.8601998547372887e-10,1.404304016822122e-11,1.3063885043185229e-11,54,36,10,46,16,HB4xp67_ASAP7_75t_R
55,BUFx12_ASAP7_75t_R,35,233280,1.3362199911611948e-15,3.2490798940187915e-10,1.5471769698738314e-11,1.4549837029642632e-11,55,36,7,44,16,HB4xp67_ASAP7_75t_R
56,BUFx12f_ASAP7_75t_R,35,262440,2.6017500006763348e-15,4.164840139431192e-10,1.205163226158934e-11,9.73241452706386e-12,56,36,15,49,16,HB4xp67_ASAP7_75t_R
57,BUFx16f_ASAP7_75t_R,35,320760,2.5975000128634863e-15,4.942619646897127e-10,1.3468881392142418e-11,1.174940006398728e-11,57,36,12,47,16,HB4xp67_ASAP7_75t_R
58,BUFx24_ASAP7_75t_R,35,437400,2.6073501590071066e-15,6.498159788037582e-10,1.653021643177599e-11,1.5176854564757924e-11,58,36,5,43,16,HB4xp67_ASAP7_75t_R
59,BUFx2_ASAP7_75t_R,35,72900,5.770419894103803e-16,6.941600072529752e-11,1.3086750433322079e-11,1.3743286890466331e-11,59,36,9,45,16,HB4xp67_ASAP7_75t_R
60,BUFx3_ASAP7_75t_R,35,87480,6.935129901247867e-16,1.041210034857798e-10,1.2052202985612936e-11,1.2008409891461902e-11,60,36,11,47,16,HB4xp67_ASAP7_75t_R
61,BUFx4_ASAP7_75t_R,35,102060,5.819660036910062e-16,1.0830499691527605e-10,1.695727933070934e-11,1.731480236966121e-11,61,36,4,41,16,HB4xp67_ASAP7_75t_R
62,BUFx4f_ASAP7_75t_R,35,116640,1.0899499263073353e-15,1.3883200145059504e-10,1.2252202724605256e-11,1.1022954250761163e-11,62,36,13,48,16,HB4xp67_ASAP7_75t_R
63,BUFx5_ASAP7_75t_R,35,116640,6.936000227601171e-16,1.4300999273686443e-10,1.4461269855214898e-11,1.4432691153309918e-11,63,36,8,44,16,HB4xp67_ASAP7_75t_R
